5281|Marco|Il "Trittico" secondo Michieletto
5038|Geronimo|"Il matrimonio segreto" a Novara
5777|Terzo conoscente di Kovalĕv|"Il Naso"
5093|Second Witch|"Dido and Aeneas"
8836|Federico|"L'Amico Fritz"
8961|Radamès|“Aida”
9651|Mustafà|"I capricci della sorte, ossia l'Italiana in Algeri"
7217|Don Gaspar|"La Favorite"
3007|Joseph, Joe|"Heart of a Soldier"
5048|La vecchia Buryja|"Jenůfa"
2089|Sicario|"Macbeth"
1900|Manrico|“ Facciamo Trovatore… ”
6728|Il conte d’Almaviva|Il ritorno del "Barbiere di Siviglia"
54|Messaggero|Samson et Dalila
9375|Stonatrilla|"L'Opera Seria"
5600|Loge|“Das Rheingold”
212|Amonasro|"Aida"
2348|Wellgunde|"Das Rheingold"
6375|Gilda|"Gala Verdi"
276|Ufficiale di polizia|"Boris Godunov"
3355|Papagena|"Die Zauberflöte"
7697|Otello|"Otello" e "Tosca"
7881|La Frugola|"Il Trittico"
5656|Moralès|-
9728|Die junge Frau|"Reigen" di Philippe Boesmans
9211|Silvia|Il dittico "Zanetto/Cavalleria Rusticana"
2142|Rinaldo|"Armida"
6526|La Contessa di Ceprano|"Ola" per Rigoletto
2107|Guide|"Death in Venice" (Morte a Venezia)
1047|Ruiz|"Il Trovatore"
5994|La fidanzata di Šarikov|-
1096|Sua madre|"Lulu"
6679|Walter Furst|-
1197|Lenskij|"Eugenio Onegin"
5050|Il giudice del villaggio|"Jenůfa"
7544|Rinuccio|"Eine Florentinische Tragödie" e "Gianni Schicchi" (cast alternativi)
5353|Domestico di Macbeth/ Un sicario|-
898|Una venditrice di arance|"Carmen"
7951|La Marquise de Berkenfiled|"La fille du régiment"
3983|Fëdor|"Boris Godunov"
892|Un bohémien|"Carmen"
3161|Carmen|"El Trust de los tenorios", "El Puñao de rosas"
9874|L’Ospite|"Luci mie traditrici" di Salvatore Sciarrino
9780|Primo messo e La voce del mago Geònca|"La donna serpente" di Alfredo Casella
1508|Montezuma|"Montezuma" a Città
7111|Ping, gran cancelliere|Non piangere'... c'è Liù
7275|Papagena|"Il flauto magico"
6829|Lysander /Snug / Lion|"The Fairy Queen"
2133|Goffredo|"Armida"
9732|Der Graf|"Reigen" di Philippe Boesmans
5485|Lucia|"L'Enfant Prodigue" e "Cavalleria Rusticana"
4305|La Volpe maschio|"La volpe astuta"
1302|Don Ramiro|"La Cenerentola"
5323|Don Ruy Gomez de Silva|"Ernani"
2014|Beppe|Onore e morte nella "Cavalleria rusticana" e nei "Pagliacci" di nuovo insieme
4018|Padre Antón|"El gato montés"
5026|Cola di Rienzi|"Rienzi"
2279|Giuseppina Strepponi|"Risorgimento", "Il prigioniero"
9322|Federico|"L'amico Fritz"
6452|Il timoniere di Daland|"Der Fliegende Holländer"
4385|Cyrano|"Cyrano de Bergerac"
2219|Abigaille|"Nabucodonosor"
8941|Petruzzel|"La vedova allegra"
4256|Kaufmann|"Jakob Lenz"
2508|Rigoletto|"Orfeo ed Euridice", "Il Trovatore", "Rigoletto"
8753|Flint|"Billy Budd"
6917|Sicario|«Pien di misfatti è calle della potenza». “Macbeth” di Verdi
9853|Madama Volpe|"Pollicino"
580|Belcore|"L'elisir d'amore"
7089|Don Diego|La Fenice
1295|Dandini|"La Cenerentola"
9289|Kromow|"La Vedova allegra"
8714|Lola|"El amor brujo" & "Cavalleria rusticana"
2854|Un parrucchiere|"Ariadne auf Naxos"
4208|Pietro|"La muette de Portici"
5930|Garsenda|"Francesca da Rimini"
9790|Don Iñigo Gomez|"L’heure espagnole" '-- "L’enfant et les sortilèges"
5465|Timur|Zubin Mehta festeggia i cinquant’anni
3156|Yansen|"El Trust de los tenorios", "El Puñao de rosas"
7631|Hylas|Trionfano
5071|Giulietta|"Un giorno di regno"
1521|Glauce|"Medea"
9578|Il Sanculotto Mathieu|"Andrea Chénier"
6095|Tobia Mill, negoziante|diciott'anni, ma non li dimostra
2499|Euridice|"Orfeo ed Euridice", "Il Trovatore", "Rigoletto"
7214|Lo Spirito dell'acqua|"Rušalka"
6473|Enée|"Les Troyens"
6586|Amonasro, re d’Etiopia, padre di Aida|ancora “Aida” a Verona
2836|Scaramuccio|"Ariadne auf Naxos"
9080|Enrico|"Elisabetta, regina d'Inghilterra"
4805|La Fortuna / Minerva|-
3794|Lou Salomé II|-
1593|Coral|Lima,"La Leyenda
