3575|Erster Gefangener|"Fidelio"
2447|Melot|"Tristan und Isolde"
2430|Marina Mniszech|"Boris Godunov"
1190|Luigi Barbiano|"Risorgimento", "Il prigioniero"
3700|Rosalinde|"Il Pipistrello"
3485|Sopran 2|"Jakob Lenz"
3730|Il barone</em> <em>Rouvel|"Fedora"
2315|Voci della fonte|"Ainadamar"
1944|Macha|"Pikovaja Dama" (La dama di picche)
1322|Padre Grigoris|"The Greek Passion"
3462|Madama Placida|" Semiramide in Villa"
20|Samson|Samson et Dalila
3430|Anne|"The rake's progress"
49|Marcello|"La Bohéme"
3261|Lucieta|-
1772|Benoit / Alcindoro|"La Bohème"
137|Anna|"Nabucco"
193|Praskowia|"La Vedova allegra"
770|Gianni Schicchi|"Il Trittico" di Giacomo Puccini
3241|Foto|“Les pêcheurs de perles”
3918|La marchesa Melibea|"Il viaggio a Reims"
3286|Lo zio Yakusidé|"Madama Butterfly"
3506|Quinault|"Adriana Lecouvreur"
708|Don Carlo di Vargas|"La forza del destino"
520|L’infermiere|Hindemith e Ravel aprono la stagione lirica
1316|La vedova Katarina|"The Greek Passion"
3806|Coraline|"Le Toréador" e "Cavalleria Rusticana"
4153|Secondo messo|"La donna serpente" di Alfredo Casella
1237|Attrice|"Fierrabras"
396|Jochanaan|"Salome"
147|Feodor|"Boris Godunov"
482|Una venditrice di arance|"Carmen"
3227|Rušalka, ninfa|"Rušalka"
2274|Tytania, Regina delle Fate|"A Midsummer night's dream"
1285|Beatrice Portinari|"La Divina Commedia"
2886|Un Messagero Filisteo|"Samson et Dalila"
1715|Duglas D'Angus|"La donna del lago"
1010|Raoul de St.Brioche|"La Vedova Allegra"
2490|Blumenmädchen (2. Gruppe)|"Parsifal"
1960|Varia|"La Cerisaie" (Il giardino dei ciliegi)
1020|Oreste|"Il novello Giasone"
3096|Giuliana Bordereau|Il suono del silenzio
4215|Lady Billows|"Albert Herring"
721|Don Ramiro|"La Cenerentola"
887|Cristobal|Lima,"La Leyenda
1875|Il dancairo|"Carmen"
413|Eacide|"Zelmira"
3597|Un poliziotto/Un sergente|"Lady Macbeth del distretto di Mcensk"
3122|Le Nipoti|"Peter Grimes"
2033|Adalberto|"Adelaide di Borgogna" di Generali
3005|Iopas /Hylas|"Les Troyens"
395|Herodes|"Salome"
2688|Gulnara, schiava prediletta di Sedi|"Il Corsaro"
1811|Mimo acrobata|"La Bohème"
2399|Il Duca|"Rigoletto"
2745|Terzo domestico/quarto poliziotto/uno speculatore|"Il Naso"
4026|Bragherona|"L'Opera Seria"
